sID,fName,lName,email,blurb,role
1,Aeriel,Sommerton,aeriel.sommerton@web.de,"Dance is my outlet for energy and creativity. I practice various styles and perform in competitions, always striving to learn new choreography.",mentor
2,Meaghan,Le Ball,meaghan.leball@hotmail.com,Cooking and experimenting with new recipes is what I love most. I often host dinner parties for my friends to try out new dishes.,mentor
3,Ondrea,Kinsella,ondrea.kinsella@yahoo.co.in,Video games are my favorite pastime. I enjoy strategy games that challenge my mind and continuously seek to improve my skills.,mentee
4,Kile,McPhelimey,kile.mcphelimey@libero.it,"Dance is my outlet for energy and creativity. I practice various styles and perform in competitions, always striving to learn new choreography.",mentor
5,Ash,Uff,ash.uff@hotmail.com,"Math challenges and numbers are where I find solace. Sudoku and puzzles occupy my free time, alongside participating in national math competitions.",mentee
6,Shelli,Milius,shelli.milius@neuf.fr,"I have a passion for mathematics and spend most of my time solving complex equations. Outside of academics, I enjoy playing chess and competing in local tournaments.",mentor
7,Fayth,Sodor,fayth.sodor@gmx.de,"Dance is my outlet for energy and creativity. I practice various styles and perform in competitions, always striving to learn new choreography.",mentee
8,Nahum,Seeler,nahum.seeler@wanadoo.fr,Video games are my favorite pastime. I enjoy strategy games that challenge my mind and continuously seek to improve my skills.,mentee
9,Scotti,Rivallant,scotti.rivallant@gmail.com,I enjoy writing and have a blog where I share book reviews and personal thoughts. Connecting with readers from around the world is enriching.,mentor
10,Cosme,Elliot,cosme.elliot@yahoo.com,"Science is my favorite subject, especially biology. Exploring the natural world and understanding how things work piques my interest like nothing else!",mentee
11,Goldy,Evesque,goldy.evesque@gmail.com,"I'm an avid reader and love diving into fantasy novels. When I'm not studying, you can find me writing short stories or exploring new coffee shops around town.",mentee
12,Court,Gildroy,court.gildroy@gmail.com,"Music runs in my family, and I play the guitar in a band with my friends. On weekends, we perform at local gigs, bringing energy to the stage.",mentor
13,Mahala,Boerderman,mahala.boerderman@gmail.com,Technology and coding are my main interests. I spend weekends participating in hackathons and building apps to solve everyday problems.,mentee
14,Avrom,Nilges,avrom.nilges@gmail.com,"Social justice is close to my heart, and I volunteer at a local community center. Advocating for change and helping others drives me.",mentor
15,Charin,Boggish,charin.boggish@yahoo.co.id,Video games are my favorite pastime. I enjoy strategy games that challenge my mind and continuously seek to improve my skills.,mentor
16,Wallie,Sandon,wallie.sandon@yahoo.com,"Outdoor adventures are what I live for. Whether it's hiking, camping, or rock climbing, being in nature gives me peace and brings out the best in me.",mentee
